gender,id,injection-coordinates,injection-structures,product-id,strain,structure-abbrev,structure-color,structure-id,structure-name,transgenic-line
M,181057754,"[6520, 6890, 5730]","[{u'abbreviation': u'PT', u'color': u'FF909F', u'id': 15, u'name': u'Parataenial nucleus'}, {u'abbreviation': u'PVH', u'color': u'FF5D50', u'id': 38, u'name': u'Paraventricular hypothalamic nucleus'}, {u'abbreviation': u'AHN', u'color': u'FF4C3E', u'id': 88, u'name': u'Anterior hypothalamic nucleus'}, {u'abbreviation': u'PVi', u'color': u'FF5D50', u'id': 118, u'name': u'Periventricular hypothalamic nucleus, intermediate part'}, {u'abbreviation': u'RCH', u'color': u'F2483B', u'id': 173, u'name': u'Retrochiasmatic area'}, {u'abbreviation': u'RE', u'color': u'FF909F', u'id': 181, u'name': u'Nucleus of reuniens'}, {u'abbreviation': u'LHA', u'color': u'F2483B', u'id': 194, u'name': u'Lateral hypothalamic area'}, {u'abbreviation': u'ARH', u'color': u'FF5D50', u'id': 223, u'name': u'Arcuate hypothalamic nucleus'}, {u'abbreviation': u'SCH', u'color': u'FF5547', u'id': 286, u'name': u'Suprachiasmatic nucleus'}, {u'abbreviation': u'SBPV', u'color': u'FF5547', u'id': 347, u'name': u'Subparaventricular zone'}, {u'abbreviation': u'MPO', u'color': u'FF5547', u'id': 523, u'name': u'Medial preoptic area'}, {u'abbreviation': u'TU', u'color': u'F2483B', u'id': 614, u'name': u'Tuberal nucleus'}, {u'abbreviation': u'VMH', u'color': u'FF4C3E', u'id': 693, u'name': u'Ventromedial hypothalamic nucleus'}, {u'abbreviation': u'ZI', u'color': u'F2483B', u'id': 797, u'name': u'Zona incerta'}, {u'abbreviation': u'DMH', u'color': u'FF5547', u'id': 830, u'name': u'Dorsomedial nucleus of the hypothalamus'}]",5,C57BL/6J,AHN,FF4C3E,88,Anterior hypothalamic nucleus,
M,127084296,"[4880, 1800, 6920]","[{u'abbreviation': u'MOp', u'color': u'1F9D5A', u'id': 985, u'name': u'Primary motor area'}]",5,C57BL/6J,MOp,1F9D5A,985,Primary motor area,
M,112306316,"[3000, 3600, 6690]","[{u'abbreviation': u'FRP', u'color': u'268F45', u'id': 184, u'name': u'Frontal pole, cerebral cortex'}, {u'abbreviation': u'ORBl', u'color': u'248A5E', u'id': 723, u'name': u'Orbital area, lateral part'}, {u'abbreviation': u'ORBvl', u'color': u'248A5E', u'id': 746, u'name': u'Orbital area, ventrolateral part'}]",5,C57BL/6J,ORBl,248A5E,723,"Orbital area, lateral part",
F,286482701,"[4150, 2510, 5780]","[{u'abbreviation': u'ACAd', u'color': u'40A666', u'id': 39, u'name': u'Anterior cingulate area, dorsal part'}, {u'abbreviation': u'ACAv', u'color': u'40A666', u'id': 48, u'name': u'Anterior cingulate area, ventral part'}]",5,C57BL/6J,ACAv,40A666,48,"Anterior cingulate area, ventral part",Rbp4-Cre_KL100
F,478874530,"[12380, 6900, 6590]","[{u'abbreviation': u'IO', u'color': u'FFB3D9', u'id': 83, u'name': u'Inferior olivary complex'}, {u'abbreviation': u'LRN', u'color': u'FFB3D9', u'id': 235, u'name': u'Lateral reticular nucleus'}, {u'abbreviation': u'PGRNl', u'color': u'FFB3D9', u'id': 978, u'name': u'Paragigantocellular reticular nucleus, lateral part'}, {u'abbreviation': u'MDRNv', u'color': u'FFB3D9', u'id': 1107, u'name': u'Medullary reticular nucleus, ventral part'}]",5,B6.FVB,IO,FFB3D9,83,Inferior olivary complex,Dlg3-Cre_KG118
M,263106036,"[2640, 3450, 5720]","[{u'abbreviation': u'ACAd', u'color': u'40A666', u'id': 39, u'name': u'Anterior cingulate area, dorsal part'}, {u'abbreviation': u'ILA', u'color': u'59B363', u'id': 44, u'name': u'Infralimbic area'}, {u'abbreviation': u'ORBm', u'color': u'248A5E', u'id': 731, u'name': u'Orbital area, medial part'}, {u'abbreviation': u'PL', u'color': u'2FA850', u'id': 972, u'name': u'Prelimbic area'}]",5,,PL,2FA850,972,Prelimbic area,Rbp4-Cre_KL100
M,181895006,"[6330, 3650, 5910]","[{u'abbreviation': u'AD', u'color': u'FF909F', u'id': 64, u'name': u'Anterodorsal nucleus'}, {u'abbreviation': u'LD', u'color': u'FF909F', u'id': 155, u'name': u'Lateral dorsal nucleus of thalamus'}, {u'abbreviation': u'LH', u'color': u'FF909F', u'id': 186, u'name': u'Lateral habenula'}, {u'abbreviation': u'AV', u'color': u'FF909F', u'id': 255, u'name': u'Anteroventral nucleus of thalamus'}, {u'abbreviation': u'MD', u'color': u'FF909F', u'id': 362, u'name': u'Mediodorsal nucleus of thalamus'}, {u'abbreviation': u'MH', u'color': u'FF909F', u'id': 483, u'name': u'Medial habenula'}, {u'abbreviation': u'CL', u'color': u'FF909F', u'id': 575, u'name': u'Central lateral nucleus of the thalamus'}, {u'abbreviation': u'IAD', u'color': u'FF909F', u'id': 1113, u'name': u'Interanterodorsal nucleus of the thalamus'}]",5,B6.129,MD,FF909F,362,Mediodorsal nucleus of thalamus,Slc17a6-IRES-Cre
M,180709230,"[2360, 3870, 7100]","[{u'abbreviation': u'AId', u'color': u'219866', u'id': 104, u'name': u'Agranular insular area, dorsal part'}, {u'abbreviation': u'AIv', u'color': u'219866', u'id': 119, u'name': u'Agranular insular area, ventral part'}, {u'abbreviation': u'ORBl', u'color': u'248A5E', u'id': 723, u'name': u'Orbital area, lateral part'}]",5,C57BL/6J,ORBl,248A5E,723,"Orbital area, lateral part",
M,114472145,"[8900, 4660, 9700]","[{u'abbreviation': u'CA1', u'color': u'7ED04B', u'id': 382, u'name': u'Field CA1'}, {u'abbreviation': u'SUB', u'color': u'4FC244', u'id': 502, u'name': u'Subiculum'}, {u'abbreviation': u'ENTl', u'color': u'32B825', u'id': 918, u'name': u'Entorhinal area, lateral part'}, {u'abbreviation': u'PERI', u'color': u'0E9684', u'id': 922, u'name': u'Perirhinal area'}]",5,C57BL/6J,ENTl,32B825,918,"Entorhinal area, lateral part",
M,180074890,"[6760, 4320, 9510]","[{u'abbreviation': u'AIp', u'color': u'219866', u'id': 111, u'name': u'Agranular insular area, posterior part'}, {u'abbreviation': u'SSs', u'color': u'188064', u'id': 378, u'name': u'Supplemental somatosensory area'}, {u'abbreviation': u'CP', u'color': u'98D6F9', u'id': 672, u'name': u'Caudoputamen'}, {u'abbreviation': u'VISC', u'color': u'11AD83', u'id': 677, u'name': u'Visceral area'}, {u'abbreviation': u'ECT', u'color': u'0D9F91', u'id': 895, u'name': u'Ectorhinal area'}]",5,C57BL/6J,VISC,11AD83,677,Visceral area,
M,112952510,"[3430, 1930, 6140]","[{u'abbreviation': u'ACAd', u'color': u'40A666', u'id': 39, u'name': u'Anterior cingulate area, dorsal part'}, {u'abbreviation': u'MOs', u'color': u'1F9D5A', u'id': 993, u'name': u'Secondary motor area'}]",5,C57BL/6J,MOs,1F9D5A,993,Secondary motor area,
F,263242463,"[2380, 2450, 7010]","[{u'abbreviation': u'FRP', u'color': u'268F45', u'id': 184, u'name': u'Frontal pole, cerebral cortex'}, {u'abbreviation': u'MOs', u'color': u'1F9D5A', u'id': 993, u'name': u'Secondary motor area'}]",5,,MOs,1F9D5A,993,Secondary motor area,Rbp4-Cre_KL100
M,278510903,"[5690, 4230, 5300]","[{u'abbreviation': u'PT', u'color': u'FF909F', u'id': 15, u'name': u'Parataenial nucleus'}, {u'abbreviation': u'PVT', u'color': u'FF909F', u'id': 149, u'name': u'Paraventricular nucleus of the thalamus'}, {u'abbreviation': u'CM', u'color': u'FF909F', u'id': 599, u'name': u'Central medial nucleus of the thalamus'}, {u'abbreviation': u'IAM', u'color': u'FF909F', u'id': 1120, u'name': u'Interanteromedial nucleus of the thalamus'}]",5,FVB.CD1(ICR),PVT,FF909F,149,Paraventricular nucleus of the thalamus,Ppp1r17-Cre_NL146
F,267540168,"[6880, 6620, 5720]","[{u'abbreviation': u'PVi', u'color': u'FF5D50', u'id': 118, u'name': u'Periventricular hypothalamic nucleus, intermediate part'}, {u'abbreviation': u'LHA', u'color': u'F2483B', u'id': 194, u'name': u'Lateral hypothalamic area'}, {u'abbreviation': u'ARH', u'color': u'FF5D50', u'id': 223, u'name': u'Arcuate hypothalamic nucleus'}, {u'abbreviation': u'TU', u'color': u'F2483B', u'id': 614, u'name': u'Tuberal nucleus'}, {u'abbreviation': u'VMH', u'color': u'FF4C3E', u'id': 693, u'name': u'Ventromedial hypothalamic nucleus'}, {u'abbreviation': u'DMH', u'color': u'FF5547', u'id': 830, u'name': u'Dorsomedial nucleus of the hypothalamus'}]",5,B6.129,VMH,FF4C3E,693,Ventromedial hypothalamic nucleus,Fezf1-2A-dCre
M,158374671,"[6680, 6320, 8860]","[{u'abbreviation': u'LA', u'color': u'90EB8D', u'id': 131, u'name': u'Lateral amygdalar nucleus'}, {u'abbreviation': u'BLA', u'color': u'9DE79C', u'id': 295, u'name': u'Basolateral amygdalar nucleus'}, {u'abbreviation': u'SSp-bfd', u'color': u'188064', u'id': 329, u'name': u'Primary somatosensory area, barrel field'}, {u'abbreviation': u'VISC', u'color': u'11AD83', u'id': 677, u'name': u'Visceral area'}, {u'abbreviation': u'EPd', u'color': u'A0EE9D', u'id': 952, u'name': u'Endopiriform nucleus, dorsal part'}, {u'abbreviation': u'PIR', u'color': u'6ACBBA', u'id': 961, u'name': u'Piriform area'}, {u'abbreviation': u'EPv', u'color': u'A0EE9D', u'id': 966, u'name': u'Endopiriform nucleus, ventral part'}]",5,C57BL/6J,PIR,6ACBBA,961,Piriform area,
